count,roblas-bench command
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 9648 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 12024 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11928 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 10704 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 12072 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 11280 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 8256 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 11856 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 11856 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 10704 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 10992 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 10776 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 12072 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 7824 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
84,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 447 -k 447 --alpha 1 --lda 18432 --stride_a 64 --ldb 447 --stride_b 199809 --beta 0 --ldc 64 --stride_c 28608 --batch 288
84,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 447 -n 447 -k 64 --alpha 1 --lda 18432 --stride_a 64 --ldb 18432 --stride_b 64 --beta 0 --ldc 447 --stride_c 199809 --batch 288
72,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 483 -n 483 -k 64 --alpha 1 --lda 18432 --stride_a 64 --ldb 18432 --stride_b 64 --beta 0 --ldc 483 --stride_c 233289 --batch 288
72,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 483 -k 483 --alpha 1 --lda 18432 --stride_a 64 --ldb 483 --stride_b 233289 --beta 0 --ldc 64 --stride_c 30912 --batch 288
60,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 472 -n 472 -k 64 --alpha 1 --lda 18432 --stride_a 64 --ldb 18432 --stride_b 64 --beta 0 --ldc 472 --stride_c 222784 --batch 288
60,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 472 -k 472 --alpha 1 --lda 18432 --stride_a 64 --ldb 472 --stride_b 222784 --beta 0 --ldc 64 --stride_c 30208 --batch 288
