count,rocblas-bench command
144000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 512 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
144000,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 512 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
144000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 512 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
72000,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 512 -k 512 --alpha 1 --lda 64 --stride_a 32768 --ldb 512 --stride_b 262144 --beta 0 --ldc 64 --stride_c 32768 --batch_count 16
72000,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 512 -n 512 -k 64 --alpha 1 --lda 64 --stride_a 32768 --ldb 64 --stride_b 32768 --beta 0 --ldc 512 --stride_c 262144 --batch_count 16
72000,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB T -m 64 -n 512 -k 512 --alpha 1 --lda 64 --stride_a 32768 --ldb 512 --stride_b 262144 --beta 0 --ldc 64 --stride_c 32768 --batch_count 16
36000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 512 -k 4096 --alpha 1 --lda 1024 --ldb 4096 --beta 0 --ldc 1024
36000,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 4096 -n 512 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 4096
36000,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 512 -k 4096 --alpha 1 --lda 4096 --ldb 4096 --beta 0 --ldc 1024
36000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 4096 -n 512 -k 1024 --alpha 1 --lda 4096 --ldb 1024 --beta 0 --ldc 4096
36000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 4096 -k 512 --alpha 1 --lda 1024 --ldb 4096 --beta 0 --ldc 1024
36000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 4096 -n 1024 -k 512 --alpha 1 --lda 4096 --ldb 1024 --beta 0 --ldc 4096
9600,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 4096 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
2400,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 512 -k 512 --alpha 1 --lda 64 --stride_a 32768 --ldb 512 --stride_b 262144 --beta 0 --ldc 64 --stride_c 32768 --batch_count 128
2400,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 4096 -k 4096 --alpha 1 --lda 1024 --ldb 4096 --beta 0 --ldc 1024
2400,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 4096 -n 4096 -k 1024 --alpha 1 --lda 4096 --ldb 1024 --beta 0 --ldc 4096
2400,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 512 -n 512 -k 64 --alpha 1 --lda 64 --stride_a 32768 --ldb 64 --stride_b 32768 --beta 0 --ldc 512 --stride_c 262144 --batch_count 128
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 77 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 30522 -k 77 --alpha 1 --lda 1024 --ldb 30522 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 2 -k 512 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 77 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 512 -k 2 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 2 -n 1 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 2
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 77 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 1 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 1 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 77 -k 30522 --alpha 1 --lda 1024 --ldb 30522 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 1 -k 2 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 1 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 2 -k 1 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 30522 -n 77 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 30522
100,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 30522 -n 616 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 30522
100,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 4096 -k 2 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
100,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 2 -n 8 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 2
100,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 616 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
100,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 8 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
