count,rocblas-bench command
300,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 30522 -n 160 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 30522
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 30522 -k 20 --alpha 1 --lda 1024 --ldb 30522 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 1 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 1 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 2 -n 1 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 2
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 2 -n 6 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 2
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 2 -n 4 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 2
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 120 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 2 -k 512 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 80 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 120 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 20 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 80 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 6 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 120 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 4 -k 2 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 2 -k 6 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 6 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 6 -k 2 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 2 -k 1 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 20 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 20 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 1 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3072 -k 2 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 512 -k 2 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 1 -k 2 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 2048 -k 2 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 4 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 4 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 80 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 2 -k 4 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 4 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1500,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 6 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
300,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 2 -n 8 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 2
300,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 160 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
300,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 8 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
300,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 4096 -k 2 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
